attendance,participation,assignment score,year_of study,number of subjects taken,class size,peer performance,cats,rats,Final exam
11,10,8,5,7,171,86,27,6,73
18,19,7,5,3,66,34,30,2,87
10,6,3,6,7,136,30,16,1,37
7,20,8,5,3,50,22,2,1,51
12,1,9,4,3,154,82,14,9,63
20,17,8,2,5,68,29,17,5,86
1,17,8,4,3,43,34,25,2,54
1,15,6,4,4,148,61,29,5,56
14,15,2,4,5,94,17,33,9,74
13,14,4,3,7,146,91,29,5,76
19,19,4,4,5,102,66,2,6,75
5,4,9,2,3,196,43,24,3,49
12,4,2,2,5,51,58,31,4,57
17,6,7,3,3,64,90,25,4,78
15,12,8,5,3,51,32,1,7,64
7,10,3,1,7,98,39,7,9,45
17,15,3,5,6,118,75,1,9,68
10,14,10,2,3,53,87,4,4,68
15,12,1,4,4,104,26,16,1,52
5,11,10,6,5,126,91,36,1,68
9,1,10,4,3,98,67,21,4,57
2,19,8,3,4,118,36,1,9,52
3,19,4,5,4,83,61,38,3,64
16,19,5,6,6,108,10,8,4,64
8,20,7,1,4,173,43,15,8,71
17,14,3,1,4,97,93,6,9,76
16,14,5,1,3,144,74,32,7,88
1,13,10,4,7,83,8,12,7,46
4,10,3,1,6,113,43,9,7,40
5,9,8,6,4,128,54,25,6,57
18,6,9,4,3,151,86,31,10,92
3,3,1,3,4,171,16,24,3,25
10,8,9,3,6,111,99,1,9,63
13,5,3,3,3,121,56,24,10,64
16,7,2,3,7,110,66,25,9,69
18,10,8,6,3,193,99,34,7,94
4,2,5,6,3,92,33,4,4,24
1,4,1,2,3,194,92,14,6,31
12,16,4,4,3,69,20,17,10,68
18,15,3,4,3,179,53,21,5,76
7,6,5,2,5,58,55,24,3,50
7,10,4,2,3,164,60,35,8,66
7,7,8,1,3,185,54,14,1,48
8,2,6,1,5,192,35,17,10,49
14,5,5,3,5,92,99,40,9,83
17,12,3,1,7,133,45,35,1,73
11,20,4,4,5,167,87,35,4,82
4,9,1,3,4,152,44,3,8,32
20,19,7,6,5,166,28,23,5,87
20,3,5,5,6,99,30,10,1,53
9,13,2,4,3,70,53,26,3,57
1,14,4,1,6,192,68,36,4,56
14,5,5,4,7,57,42,39,10,75
13,13,3,2,5,127,88,6,2,57
6,3,5,6,6,47,55,35,3,48
14,4,4,6,3,188,66,2,5,46
6,4,9,5,4,151,8,38,7,57
10,17,5,5,7,90,28,17,5,60
12,1,5,4,6,98,36,35,8,61
11,10,6,4,6,147,32,29,3,61
8,17,1,5,7,151,52,9,7,50
11,1,4,2,3,65,51,28,4,53
10,10,9,3,6,90,79,9,8,66
2,19,3,6,5,65,89,31,8,65
18,4,7,4,7,128,95,36,5,83
11,3,6,1,7,171,40,18,8,54
14,1,1,6,6,88,3,14,1,31
9,15,4,6,6,104,67,39,7,75
4,15,1,3,3,73,35,35,6,56
14,6,1,5,5,84,59,5,8,48
18,14,9,6,5,93,96,20,2,86
9,5,3,6,7,173,57,17,4,42
11,5,3,6,7,108,30,33,6,54
11,20,3,3,6,118,68,27,3,72
4,14,6,4,7,166,29,3,2,36
20,8,5,1,6,137,65,27,5,81
20,8,2,4,5,158,65,36,3,77
7,8,5,5,4,129,49,32,10,63
9,20,9,1,5,174,28,36,6,84
1,11,8,1,4,189,12,22,6,47
20,2,2,6,6,148,22,5,3,44
13,10,2,3,3,82,61,24,9,68
7,6,2,1,4,48,36,10,5,37
1,1,9,4,4,163,74,9,8,38
1,12,4,2,7,46,77,35,8,59
1,7,4,3,7,94,79,10,2,30
20,2,5,1,5,101,35,29,4,70
4,15,7,3,5,94,2,29,1,51
3,7,6,5,5,117,83,29,1,48
12,12,10,3,5,147,40,1,9,65
6,19,1,1,5,197,58,36,4,64
15,7,9,4,4,127,31,37,7,81
5,8,8,4,5,172,16,12,2,38
6,5,3,6,7,198,95,26,9,52
7,2,9,2,4,172,77,19,2,50
10,6,3,4,4,184,100,32,10,69
13,15,7,2,3,160,3,35,10,83
2,16,7,3,6,118,10,21,7,52
1,10,4,3,7,104,76,20,8,47
5,8,7,3,5,64,43,1,5,39
18,19,3,3,7,41,49,1,7,71
10,14,4,2,3,145,55,31,8,73
7,17,2,6,4,173,93,11,4,53
8,15,5,1,5,98,63,17,10,68
19,11,10,6,3,46,68,2,4,75
20,14,5,6,3,166,99,27,2,87
2,4,1,5,7,172,90,10,6,27
19,1,10,6,7,200,52,8,1,57
13,13,1,6,7,110,11,27,10,62
4,5,7,2,7,129,87,6,7,44
1,19,3,2,6,108,76,23,9,60
15,14,8,3,3,172,72,20,1,76
13,11,5,4,5,78,60,3,1,51
16,11,6,1,7,40,10,23,10,76
2,6,10,6,7,121,49,6,4,36
14,13,3,4,6,160,23,39,9,77
2,17,9,4,3,112,40,11,7,55
20,11,10,2,3,61,56,15,10,92
13,10,5,4,3,125,95,6,10,67
15,18,4,3,7,67,38,40,2,81
2,10,8,3,4,119,72,16,9,55
1,12,9,6,7,178,10,15,8,44
11,11,10,3,7,46,15,32,5,73
20,19,10,4,7,161,41,17,2,88
10,7,4,1,6,72,82,24,7,63
14,8,10,5,5,180,91,30,4,80
3,10,3,2,5,105,67,26,2,45
12,20,4,6,3,188,62,32,9,84
2,17,4,3,3,71,4,17,1,39
13,7,7,1,5,103,89,26,2,70
15,19,5,4,4,70,45,13,8,77
5,12,2,6,4,65,35,3,6,34
18,1,3,1,6,124,49,10,8,56
9,13,2,5,7,182,94,28,10,69
18,12,3,6,3,104,43,22,1,66
17,10,9,1,5,152,5,15,7,72
14,1,6,6,4,89,7,14,4,45
18,2,4,5,3,155,57,31,10,74
2,2,5,5,6,99,48,28,3,35
8,17,5,4,7,99,85,25,2,66
19,17,7,1,4,158,34,15,8,86
18,13,8,5,7,74,55,39,9,97
8,6,2,1,4,148,36,28,5,49
6,7,7,1,4,48,50,20,5,53
3,17,2,1,6,132,66,26,6,56
4,7,3,5,6,138,17,3,7,26
19,19,9,4,7,107,78,36,9,109
13,14,5,1,5,143,12,28,9,74
13,15,9,1,7,71,97,3,3,71
2,3,7,5,6,81,76,18,1,35
19,16,10,3,7,61,29,31,5,94
6,3,9,5,6,191,65,4,4,39
6,20,6,6,7,46,98,27,2,70
11,16,10,2,5,200,3,13,4,64
16,2,5,2,6,169,97,10,8,63
6,1,2,4,7,64,60,33,3,41
12,13,3,3,6,189,37,15,4,55
6,4,2,1,5,134,4,38,8,48
19,18,3,6,6,141,68,1,4,68
19,20,7,2,5,134,90,5,5,87
13,19,7,6,7,125,95,24,3,81
18,1,10,5,7,100,36,40,5,79
5,18,2,5,7,163,35,8,2,38
3,17,4,6,6,143,64,9,9,50
13,16,2,6,5,61,27,7,2,50
5,10,6,1,5,120,20,7,5,40
6,19,9,6,7,59,42,35,7,77
20,9,4,5,6,197,31,9,10,68
8,10,1,2,4,96,99,21,6,57
16,11,6,1,3,49,8,27,3,71
6,10,9,4,3,77,46,37,2,65
7,18,7,1,7,146,20,25,8,69
8,6,5,3,4,162,92,13,7,54
8,10,2,2,6,116,58,15,5,47
1,5,10,3,6,78,7,28,10,50
17,6,5,3,6,73,88,19,7,73
7,2,3,6,7,109,26,38,1,40
6,10,10,2,6,171,1,6,6,46
12,13,5,4,7,44,69,1,5,56
7,14,8,2,3,75,6,18,6,59
5,14,9,2,7,191,50,12,5,55
20,10,6,3,3,57,47,37,9,94
8,11,2,4,7,114,68,40,5,63
14,16,9,4,5,126,31,15,2,70
19,1,4,6,7,86,32,11,10,58
13,6,5,4,4,115,13,32,10,67
16,6,3,2,4,144,28,39,5,70
6,17,9,5,3,75,59,27,1,67
13,8,4,2,4,79,78,30,2,67
6,1,3,2,3,131,25,6,3,24
5,3,3,5,6,68,51,38,9,52
12,5,10,2,3,184,34,20,4,62
2,9,7,1,4,192,68,14,3,43
6,7,5,6,5,76,32,32,8,54
15,5,6,1,3,62,98,26,1,71
16,18,8,1,5,90,85,25,6,94
5,16,9,4,6,155,82,21,6,68
3,5,6,6,3,66,65,21,7,46
15,15,3,5,4,141,37,32,9,79
20,19,5,6,6,77,63,15,9,89
19,11,5,2,6,110,69,19,8,81
7,4,6,5,6,126,12,29,5,46
17,3,7,1,5,89,52,8,5,61
13,6,10,5,6,194,83,37,3,78
3,1,5,3,7,190,94,32,2,43
13,6,5,2,3,111,96,10,5,60
5,6,3,4,6,112,61,36,2,47
6,19,9,3,5,200,27,11,5,60
16,7,2,1,6,180,45,9,8,57
9,11,1,4,5,131,72,4,9,48
17,15,6,6,4,40,96,6,7,78
1,17,6,2,7,163,81,6,2,44
9,6,5,1,7,192,10,15,4,42
20,19,9,5,3,85,22,2,3,77
14,15,1,2,5,96,69,40,1,75
12,5,9,2,3,60,13,10,9,59
17,11,10,5,5,96,72,6,4,73
13,12,7,3,5,134,36,23,7,72
6,19,9,1,5,49,12,17,9,69
2,6,2,2,7,130,23,27,10,40
2,13,4,1,4,172,88,23,7,56
14,1,1,6,6,167,30,39,2,50
15,2,8,2,4,130,15,29,2,61
10,1,10,6,7,131,53,2,3,41
20,15,6,6,5,93,45,24,2,81
19,7,5,1,7,192,35,34,4,76
8,18,9,5,6,179,2,20,6,64
3,20,9,4,4,56,77,14,4,64
5,9,7,1,4,118,55,11,10,54
14,4,2,6,3,194,51,1,8,43
2,10,6,5,3,53,79,39,9,66
19,8,1,6,7,170,20,34,1,61
15,18,10,3,7,144,41,6,9,80
7,20,1,4,4,141,24,6,7,48
14,13,6,2,6,89,49,17,4,68
17,3,10,1,5,170,97,23,6,81
12,3,7,5,7,78,86,33,8,72
6,7,10,3,3,51,38,5,9,52
2,18,6,3,7,147,18,30,3,53
10,12,3,2,7,135,17,16,1,45
17,17,10,3,4,46,79,36,3,100
8,9,4,5,4,145,44,23,4,50
9,6,10,1,4,187,15,19,7,59
2,12,7,2,4,185,90,31,7,64
20,10,9,6,3,200,3,23,8,81
1,16,6,1,3,187,32,36,4,58
12,2,10,6,4,57,41,1,5,48
2,18,2,4,4,180,49,29,8,56
17,16,9,4,5,83,32,33,3,88
9,3,7,2,6,84,99,14,2,51
14,10,9,2,3,169,65,6,1,62
10,6,5,1,6,89,15,17,10,54
10,18,6,2,6,41,18,11,2,57
13,1,4,1,5,190,85,38,10,73
3,15,3,1,6,43,67,39,2,60
10,4,3,5,5,52,40,21,6,47
14,11,10,3,4,151,55,20,9,81
14,5,7,3,7,177,90,14,3,61
17,12,7,2,3,166,94,24,6,87
6,15,10,5,4,150,88,20,2,66
17,5,1,2,7,139,30,19,10,60
3,12,3,2,3,124,58,26,4,49
11,6,2,1,5,147,94,36,2,63
1,14,5,6,5,103,26,31,9,53
19,17,5,6,3,84,74,1,10,80
10,20,10,1,4,173,70,40,8,99
6,11,3,5,6,132,1,14,10,43
4,1,9,4,6,100,54,23,8,49
5,5,2,1,6,69,3,2,7,24
11,14,9,4,6,51,3,16,1,58
6,6,1,6,3,72,73,8,2,31
19,14,5,4,4,140,18,27,10,85
16,19,5,3,3,114,17,1,2,61
5,7,5,3,6,140,44,14,4,39
19,7,8,3,4,43,83,9,4,74
1,15,3,6,6,89,40,30,2,44
11,2,9,1,6,136,27,20,5,55
16,16,4,1,6,74,55,38,4,86
6,12,7,1,3,156,33,12,3,49
14,12,1,5,5,180,86,38,2,71
11,5,2,2,5,126,27,17,7,47
2,2,9,4,3,69,20,19,1,33
18,15,8,1,7,50,36,32,6,92
7,19,6,1,4,103,15,12,2,54
14,10,9,3,7,70,58,34,3,79
12,13,7,5,5,113,11,6,1,49
12,1,7,4,7,53,96,40,1,67
2,12,10,4,7,62,8,26,2,49
7,16,4,2,4,50,47,5,6,52
20,18,9,3,7,123,91,20,5,98
15,16,10,4,3,88,10,39,4,89
20,10,5,6,3,97,67,1,5,66
12,16,6,5,6,84,17,1,6,55
10,7,5,5,3,66,38,31,8,63
20,19,6,4,7,77,5,23,6,85
11,5,5,4,3,65,63,7,6,50
2,12,5,2,4,119,91,15,6,51
20,10,2,2,5,122,62,14,6,71
17,19,10,4,6,180,72,37,5,102
8,13,2,3,3,107,87,6,4,49
8,18,2,1,3,112,49,13,10,63
5,17,5,6,3,127,80,35,4,68
2,6,2,3,7,128,23,6,5,21
2,15,1,2,5,198,77,6,7,40
12,1,3,3,5,111,26,38,6,56
19,13,9,6,5,157,73,34,4,93
3,17,9,2,5,84,92,39,2,76
8,9,3,4,3,184,27,21,1,42
10,15,4,6,3,195,23,17,10,61
8,14,4,2,6,104,80,30,8,72
2,20,10,2,4,135,51,30,2,68
1,1,4,5,4,181,54,22,7,32
10,16,2,6,4,62,47,26,8,66
10,9,5,3,4,89,28,20,10,61
11,8,8,1,4,161,13,22,1,56
11,14,9,1,3,95,62,34,7,87
18,14,3,1,7,87,41,25,2,73
20,18,9,3,5,191,14,19,1,82
17,9,1,6,3,119,8,2,5,45
14,6,2,3,6,179,22,11,1,40
13,9,1,2,5,88,95,9,9,60
2,4,6,1,4,112,99,21,1,42
16,4,5,2,3,96,28,21,2,57
11,9,4,4,6,132,29,18,8,55
5,3,6,2,6,158,64,34,9,57
17,15,2,3,5,196,60,3,5,62
8,3,1,1,4,100,25,36,10,53
13,14,10,2,3,196,36,28,10,87
4,14,6,5,6,175,50,39,5,63
9,11,8,2,5,58,82,36,6,79
10,18,1,1,6,196,47,31,3,64
16,5,8,4,5,147,64,9,4,62
9,15,2,3,5,176,81,25,2,60
15,7,8,2,4,55,87,1,7,67
3,2,9,5,5,97,79,36,10,62
7,2,4,6,3,123,39,5,4,29
13,19,5,2,4,177,39,5,7,67
6,19,10,6,6,47,77,18,5,72
11,17,10,2,5,147,2,40,6,84
17,16,5,6,3,200,80,12,4,74
3,15,5,1,6,82,48,5,3,41
15,11,4,4,5,82,22,16,4,59
12,13,4,6,5,42,87,17,10,72
11,11,10,3,3,78,79,31,3,79
10,1,8,1,5,78,17,20,8,54
5,5,4,1,7,97,74,32,9,57
13,10,8,2,4,123,33,1,2,53
1,8,10,1,3,50,46,33,7,61
12,14,7,4,3,56,99,19,1,72
5,9,2,2,4,92,50,36,9,58
8,15,3,5,6,200,76,38,10,75
19,6,10,4,4,147,34,20,3,74
20,8,8,3,3,195,99,27,7,92
20,20,8,5,5,145,17,2,8,81
13,3,6,4,7,160,71,12,10,59
1,3,9,6,3,141,62,38,5,52
19,4,4,6,7,135,65,32,10,78
13,10,5,4,3,200,23,10,10,59
1,1,3,1,5,186,45,11,5,22
5,9,6,1,6,80,79,14,6,52
18,2,1,5,7,168,4,15,2,41
20,2,1,4,3,91,58,8,4,53
17,8,4,2,4,180,85,33,5,79
10,14,4,3,6,124,19,31,6,64
9,11,1,6,5,162,9,30,8,52
12,12,2,6,7,102,72,21,3,57
13,18,10,2,3,49,99,1,3,77
20,16,6,3,3,104,19,13,8,81
15,8,6,3,7,59,14,2,8,54
7,10,5,2,3,187,33,25,4,53
19,18,3,5,4,73,80,16,8,85
19,2,7,4,5,98,8,1,1,46
16,16,10,3,5,176,63,12,10,88
13,19,8,3,5,186,54,17,2,74
10,20,6,3,3,71,62,34,7,86
13,3,6,4,7,45,39,29,7,63
15,4,10,6,5,115,54,30,5,74
9,16,2,1,3,172,43,21,2,56
6,11,2,6,4,106,56,28,10,57
13,15,5,4,4,59,54,33,7,81
17,20,2,4,4,66,96,32,4,90
19,13,8,4,7,113,65,18,5,83
7,9,8,2,3,85,1,22,2,50
12,12,7,6,5,181,35,37,8,77
20,5,10,1,5,129,32,18,10,83
7,14,9,1,5,135,24,13,3,56
19,8,9,4,5,47,50,21,5,80
15,6,2,6,5,84,68,19,5,57
2,16,6,4,4,66,93,10,3,50
4,20,1,1,7,153,3,4,9,41
1,12,1,4,5,91,88,32,10,55
19,11,6,1,5,176,73,38,9,97
8,6,2,6,5,182,22,13,2,30
10,9,6,4,3,145,55,18,4,57
12,15,4,2,4,187,98,13,1,64
5,10,6,1,7,66,21,8,5,41
12,12,7,6,4,62,13,30,1,63
11,12,5,4,4,73,80,6,6,59
5,17,5,5,3,78,36,37,9,71
13,7,8,3,6,151,74,15,4,64
6,15,10,2,5,188,92,10,6,67
16,20,2,4,4,85,95,39,5,93
16,19,4,3,3,66,92,27,3,87
12,17,6,3,7,156,65,17,6,72
18,7,9,6,6,156,100,17,5,78
15,7,6,1,6,43,17,13,2,55
17,13,3,4,4,45,99,9,7,74
12,3,5,1,5,115,84,36,10,75
19,17,1,4,7,108,50,2,10,69
1,1,7,5,7,187,85,6,4,27
16,11,2,3,3,91,11,10,6,56
7,10,6,4,3,136,14,30,1,51
5,9,8,6,3,131,14,15,9,49
18,10,9,6,3,82,51,36,9,94
16,4,5,1,5,69,9,18,8,60
16,9,9,4,3,170,36,35,2,78
1,4,9,5,7,145,77,6,9,40
3,9,6,6,6,104,51,4,4,33
18,9,9,3,7,43,96,33,9,97
3,15,3,6,3,129,40,39,2,53
20,11,8,2,5,98,66,19,2,82
10,10,10,6,6,136,73,24,5,70
18,18,7,3,7,45,50,35,2,91
19,16,6,6,3,96,28,16,2,74
1,12,9,6,7,144,60,19,2,46
2,1,8,3,6,44,22,37,3,43
9,11,2,1,6,76,80,2,8,50
8,6,1,3,3,82,91,33,7,59
10,8,1,4,7,124,56,33,1,51
11,3,5,2,3,116,51,28,2,54
15,13,2,4,4,164,63,24,4,68
5,16,5,2,3,60,9,22,7,57
8,18,3,2,6,129,71,39,3,72
14,14,3,6,4,158,85,3,7,62
8,2,10,5,4,47,3,8,8,44
18,20,3,5,3,56,93,7,7,82
15,4,9,4,3,82,42,7,7,61
1,1,6,4,3,91,58,14,4,30
8,8,6,6,6,176,43,37,1,56
10,4,6,5,5,146,31,15,2,42
18,19,4,3,6,149,100,11,3,80
19,1,3,1,7,82,12,38,3,64
14,18,7,6,4,88,11,3,5,62
14,11,2,5,4,91,78,29,4,69
6,7,6,6,4,110,72,11,6,47
4,3,9,2,5,97,43,6,6,39
19,9,3,6,3,142,36,11,4,60
5,2,1,4,4,161,2,32,6,34
6,8,4,6,7,69,16,33,7,50
7,1,4,6,6,52,71,2,1,26
9,12,10,4,3,59,48,22,3,67
8,8,10,3,4,176,43,11,8,58
10,12,7,1,4,61,57,33,5,75
16,19,1,3,4,189,60,20,9,78
1,3,5,1,5,166,87,15,7,39
10,1,4,2,7,69,67,25,9,56
4,16,8,3,4,161,58,8,9,59
19,17,10,2,7,187,31,37,6,100
17,18,3,1,7,186,93,1,1,66
19,13,10,2,3,42,75,24,8,98
7,1,3,3,3,183,25,3,10,31
12,16,8,2,6,78,50,30,5,81
19,12,1,3,4,194,23,20,1,61
5,10,4,3,3,85,6,14,5,39
2,9,8,3,7,57,48,6,2,36
14,3,4,3,7,156,66,26,10,66
3,20,6,1,4,91,95,23,3,67
17,12,7,2,5,123,30,23,5,76
11,5,1,1,4,81,36,1,6,37
9,9,1,5,6,73,12,3,4,30
10,18,8,1,7,157,32,12,7,68
17,14,7,2,4,161,65,35,6,92
5,7,1,5,3,87,14,29,5,39
1,16,3,6,6,192,9,10,3,29
11,15,3,2,7,159,93,33,3,73
20,1,1,4,6,40,26,14,8,55
2,7,1,5,3,131,32,5,8,25
9,6,8,5,7,157,30,39,9,68
6,6,7,3,4,147,87,13,6,52
19,10,7,3,6,124,59,33,5,87
13,10,9,1,4,174,57,39,10,90
18,6,5,6,7,154,99,35,3,78
1,7,8,5,5,109,95,26,3,50
11,9,9,1,3,85,13,27,5,68
8,8,6,2,4,121,19,12,8,50
1,6,1,3,5,176,20,20,4,24
1,16,10,3,7,115,12,32,1,55
1,18,7,5,6,189,66,36,9,69
10,7,10,6,7,87,59,4,1,48
17,17,4,5,6,117,45,17,9,78
3,6,7,6,3,178,26,6,10,37
20,11,6,4,3,178,15,17,2,69
8,1,9,3,6,172,11,15,3,39
5,3,6,6,7,73,40,5,7,33
18,13,8,2,4,158,17,21,1,74
11,12,1,5,4,43,36,40,2,62
8,6,9,4,4,105,25,27,7,60
3,10,4,1,5,140,56,27,10,56
4,10,6,1,5,120,100,39,1,64
1,20,5,4,5,107,56,14,1,46
13,7,10,6,5,84,34,5,4,55
16,6,8,5,7,68,78,31,6,80
2,7,3,6,5,200,14,17,8,31
11,11,7,1,5,62,2,30,6,67
11,12,4,1,7,69,82,11,8,64
15,11,5,2,6,69,31,38,7,80
16,3,9,1,4,157,28,32,2,70
20,14,4,1,4,45,88,29,9,97
8,9,5,3,7,167,10,26,3,48
14,2,9,1,4,82,63,19,7,68
1,11,5,6,7,86,72,21,10,50
14,10,7,6,5,94,57,28,2,70
10,20,1,6,7,114,69,29,6,70
18,14,3,4,3,69,30,40,10,90
17,20,6,3,5,72,71,3,3,75
8,10,9,5,6,82,28,13,8,57
15,19,6,3,5,76,10,37,4,84
10,16,8,5,6,147,92,10,9,73
6,11,8,4,5,128,5,31,4,56
8,8,3,6,6,192,89,15,3,45
1,13,3,5,7,128,28,36,7,49
17,3,3,3,4,48,97,35,1,70
19,7,7,5,7,76,77,7,7,71
14,2,8,3,7,150,67,39,6,75
7,14,2,4,5,155,100,5,10,55
3,3,8,2,4,120,85,22,9,54
10,3,9,3,7,125,22,21,10,59
15,11,6,3,7,191,70,25,4,73
7,19,5,2,3,66,52,31,5,72
1,12,4,1,6,116,58,8,4,36
5,13,8,6,7,65,98,13,1,54
9,3,7,6,6,172,8,40,3,53
16,4,4,5,7,200,92,31,5,69
10,7,8,4,4,45,43,8,2,49
14,6,9,1,7,76,97,40,3,84
4,17,1,4,3,145,22,28,6,51
20,5,2,6,7,45,75,28,4,70
14,14,6,5,5,145,87,7,7,70
11,12,10,6,6,124,95,33,5,83
2,15,10,6,5,162,28,32,4,60
9,20,8,5,6,200,48,16,4,68
19,11,2,1,3,182,75,35,9,89
13,17,9,3,3,88,100,14,10,89
11,2,9,2,5,164,16,23,2,51
4,2,7,6,4,61,57,39,1,48
13,14,3,5,7,191,41,24,5,63
10,6,9,1,3,51,32,37,8,75
11,2,9,4,5,163,51,7,4,48
4,12,9,6,3,158,68,6,5,50
1,6,5,3,7,47,69,13,3,33
20,3,5,5,5,110,34,20,9,69
1,20,10,2,3,91,31,35,6,72
8,3,10,3,7,190,11,35,9,62
11,4,8,1,5,64,39,5,6,51
13,4,5,6,5,154,60,37,5,66
6,19,8,1,4,61,48,9,7,65
16,20,1,4,3,77,93,35,8,93
4,6,9,1,6,133,47,30,4,55
1,10,8,5,6,174,76,9,2,38
9,9,6,1,7,176,10,22,4,51
3,4,6,3,5,112,100,11,8,45
4,11,3,1,7,101,95,30,4,56
1,1,6,2,5,120,10,21,2,25
2,17,2,6,5,148,86,25,3,50
15,10,3,1,5,100,8,28,2,61
18,13,3,4,5,138,4,33,1,69
8,9,3,4,3,191,89,11,5,49
4,6,8,1,5,65,40,23,1,45
20,16,7,1,6,145,99,18,9,98
10,8,3,4,7,107,56,30,2,54
17,5,6,2,4,183,40,12,8,64
16,12,1,5,7,198,8,2,1,40
18,12,4,1,4,70,23,13,1,63
12,12,3,2,5,184,3,28,7,61
16,6,3,2,3,193,10,1,2,41
6,14,1,2,5,90,2,37,7,56
20,4,7,4,6,155,25,29,8,77
2,16,9,2,3,77,100,27,9,76
19,20,6,3,3,163,66,5,3,79
14,7,7,2,5,147,13,4,6,52
3,13,1,5,5,129,13,38,3,44
11,5,5,3,7,148,25,27,8,57
4,10,10,1,6,192,50,11,7,53
16,7,1,5,6,196,67,23,3,57
4,13,9,6,4,49,93,16,7,63
17,19,3,4,5,182,87,7,2,70
1,5,9,3,6,81,26,34,10,54
10,14,5,2,6,91,46,2,10,58
18,18,9,1,7,198,93,31,3,99
16,14,6,5,4,141,79,2,10,74
17,12,8,4,3,187,97,27,2,85
2,15,5,2,6,58,13,37,3,53
9,5,5,3,6,172,43,6,8,44
18,1,3,6,6,132,100,16,9,65
17,13,7,4,6,154,47,28,2,77
20,8,3,3,5,191,60,21,10,77
2,20,7,2,4,112,68,15,1,55
18,20,2,4,3,156,91,4,10,81
15,9,5,4,3,144,7,26,5,64
18,8,7,1,5,159,48,39,8,89
15,12,5,4,6,197,40,40,8,82
12,18,8,6,5,133,8,35,8,82
7,18,3,1,3,50,75,26,2,65
18,2,10,2,5,162,91,24,5,80
20,14,2,2,3,139,21,30,6,80
17,12,3,2,6,144,69,1,3,58
10,1,8,1,7,129,31,1,5,39
4,4,6,1,3,187,43,19,7,44
1,9,1,3,4,95,8,29,7,36
9,7,9,5,5,183,93,18,1,58
16,4,9,5,5,193,97,28,6,79
17,16,4,6,4,142,10,8,2,58
10,7,2,1,7,92,94,35,8,68
13,18,7,3,5,48,44,10,1,66
8,20,2,1,3,125,6,40,6,70
7,19,3,4,4,77,52,6,3,50
7,3,7,2,3,125,53,7,5,42
9,8,3,1,4,176,10,39,8,61
10,3,6,3,4,182,68,39,2,62
1,20,5,4,7,150,10,6,4,37
16,15,6,4,7,67,42,20,3,72
10,10,10,5,3,125,89,9,8,69
6,5,10,1,5,55,21,34,1,56
11,2,7,5,3,118,34,4,6,43
19,11,8,2,3,53,66,36,2,91
18,16,5,1,6,146,63,32,5,89
7,19,1,4,7,133,86,32,5,67
15,15,4,2,3,54,33,18,3,68
9,4,2,2,6,121,1,31,2,40
12,14,3,2,7,153,58,37,1,69
14,15,4,4,5,62,48,27,2,70
3,3,6,3,6,104,42,6,3,27
12,15,6,5,7,156,69,17,10,74
20,6,3,2,5,85,43,10,1,57
10,4,1,1,6,133,25,27,1,41
10,5,6,5,6,50,87,1,6,48
11,4,10,3,7,152,86,8,9,63
8,12,6,1,3,76,58,36,3,69
9,1,10,1,5,71,28,8,5,46
8,13,8,5,5,136,87,17,3,63
14,17,4,4,7,146,84,30,6,82
13,8,9,2,4,180,86,13,3,67
20,20,8,1,4,66,57,28,6,103
11,7,4,3,6,152,43,23,6,56
6,20,4,5,4,75,18,36,10,72
16,16,7,4,4,171,60,13,3,74
14,19,4,1,7,144,77,7,2,67
10,13,10,4,5,161,95,10,3,67
8,5,8,3,6,199,48,19,10,58
14,15,3,3,6,185,67,17,6,68
14,17,6,4,7,45,68,8,9,75
14,13,8,5,3,187,96,11,9,79
10,6,5,4,7,191,57,4,3,40
11,20,9,6,4,85,24,18,3,71
4,10,5,3,5,182,47,4,9,42
11,2,4,6,7,180,57,10,4,39
1,7,3,6,6,173,30,28,10,40
14,13,5,4,7,125,4,2,3,48
17,8,2,3,4,102,22,39,4,70
2,3,8,2,5,54,2,27,3,37
1,5,3,6,5,106,68,26,4,36
9,10,4,1,7,181,9,27,6,54
8,19,5,5,4,196,26,13,8,60
10,15,9,4,3,172,64,33,8,84
1,3,1,5,5,41,94,11,10,32
13,5,9,6,5,116,18,7,3,49
11,16,1,4,3,97,13,15,5,52
1,13,8,3,3,144,11,17,10,51
7,20,7,3,6,178,79,12,6,68
9,4,1,2,6,40,84,18,9,51
11,18,8,4,6,52,90,7,8,76
14,14,10,1,5,186,74,3,4,72
20,13,6,1,5,47,8,9,8,75
4,2,10,3,4,143,64,40,6,62
19,8,4,2,6,96,90,23,1,73
9,18,8,5,3,54,80,40,8,91
2,14,2,4,5,79,21,13,5,35
10,14,8,3,6,115,36,34,5,75
18,11,6,4,5,56,48,5,6,68
9,20,1,1,3,87,62,16,10,69
12,2,9,3,3,67,45,33,6,69
2,20,5,6,5,181,68,27,4,59
6,17,1,5,5,194,6,22,7,48
11,11,4,4,4,126,84,28,4,67
6,14,7,5,4,160,96,37,8,78
12,7,1,1,5,114,82,32,9,68
15,13,4,3,4,80,32,8,7,63
13,15,7,1,4,166,81,20,7,81
6,4,1,3,6,155,78,22,8,44
7,13,10,6,4,149,92,24,5,72
3,5,4,5,7,56,90,34,10,56
6,8,6,6,5,166,100,20,8,58
15,7,9,6,4,195,30,6,5,58
4,7,8,5,7,72,83,15,7,51
1,8,2,3,6,50,68,14,2,30
1,9,6,4,5,180,68,29,6,50
3,7,10,3,6,154,2,35,3,50
